reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
80dbc7d4-6018-4745-8806-083060bf46fa,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,seru,5,0,,2026-03-25 15:39:52,,,
15c855c8-2a6f-4037-8e44-f0fcb24bf2bd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Game kentut, akun gw selalu dihapus mulu ma ini game capek² gw main tiba² akun gw selalu hangus perasaan gw juga ga mencet log out tiba² hangus sendiri akunnya lebih baik kasih bintang 3 aja",3,0,2.713.911,2026-03-25 14:50:45,,,2.713.911
a23165ee-a6ab-437c-bb90-4774755f47f0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,i lpo roblox 😘😘😘😘,5,0,2.711.876,2026-03-25 13:25:10,,,2.711.876
1ef3aec7-5cca-4e40-94ba-2f121bec50d7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"game menarik dan cukup bagus, tapi ada hal yang membuat saya kesal yaitu: terlalu sering update, untuk mengupdate di perlukan banyak ruang, dan saya juga jadi tidak bisa memainkannya.. tolong perbaiki untuk developer nya ya? untuk itu saya beri bintang 4. jika game sudah tidak sering update, saya akan memberi 5 bintang! sekian ulasan dari saya semoga dipahami dan dimengerti yaa, dan 1 masalah lagi! tidak bisa di update! 🤬",4,6,2.605.660,2026-03-25 09:40:58,,,2.605.660
2f76353b-ec14-4261-be1d-6fe91319d500,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,makin lama makin ngawur jir kebijakan Roblox kayak kebijakan pemerintah Indonesia hampir gada bijak nya sama sekali kembalikan classic face,1,1,2.691.868,2026-03-25 07:19:48,,,2.691.868
5bed9267-8be0-4c6c-8ae5-074a22379a9d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Huft..... Kenapa update kali ini sangat mengecewakan, semua wajah klasik di hapus dan digantikan dengan wajah 3d Not Approved!🤌",1,1,2.711.876,2026-03-25 06:31:19,,,2.711.876
1cf6e60b-846c-453c-85bf-eb458a8e9dcb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"ini game platfrom kocak yang dimana 1 app banyak game (mapnya) kalo lu minta mudahin dapet secret di fishit, roblox mana peduli, itu map bukan punya developer roblox. mintalah sama developer pembuat map fishit biar di gampangin dapet secretnya. otak dipake boss 🤓👈",5,0,2.711.876,2026-03-24 22:08:12,,,2.711.876
fa201945-4b4a-4a21-b49e-579ce58ddf46,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gua hapus udah burik jelek berat orang nya tolol semua lagi,1,1,2.702.632,2026-03-24 21:52:22,,,2.702.632
bb3498e9-a805-4ee6-9cda-a363132bc9f7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Roblox kenapa beli 40 robux nya hilang di toko robux😭,1,1,2.711.876,2026-03-24 14:20:32,,,2.711.876
81113833-e906-478a-9cb7-902b88fa1f04,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,game sesat dan juga leg banget,1,0,2.711.876,2026-03-24 11:29:49,,,2.711.876
68eee387-1a41-4345-82ab-8c0dd844b3d5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gemya bagus,5,1,2.713.911,2026-03-24 07:20:04,,,2.713.911
